"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"57","157_4","157_4","157_1",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","intense","primary vegetation-substantial",2,0
"58","1578_1","1578_1","1578_10",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",1,1
"59","1578_1","1578_1","1578_11",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",1,1
"60","1578_1","1578_1","1578_12",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",4,1
"61","1578_1","1578_1","1578_13",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"62","1578_1","1578_1","1578_2",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"63","1578_1","1578_1","1578_26",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"64","1578_1","1578_1","1578_3",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"65","1578_1","1578_1","1578_4",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"66","1578_1","1578_1","1578_5",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",11,1
"67","1578_1","1578_1","1578_6",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",9,1
"68","1578_1","1578_1","1578_7",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",12,1
"69","1578_1","1578_1","1578_8",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",4,1
"70","1578_1","1578_1","1578_9",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",4,1
"71","1578_2","1578_2","1578_1",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",2,1
"72","1578_2","1578_2","1578_2",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",8,1
"73","1578_2","1578_2","1578_3",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",9,1
