"","site_number","study_number","lon","lat","X.1","X","reference","site_name","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI","cells_deforestation","deforest_prop"
"96","1582_2",1582,-35.094066,-8.126288,8733,27285,"daSilva2018","Ecotonal area","1582_2","Brazil","ecotonal area with Atlantic Forest remnants","Atlantic Forest ecological reserve","primary vegetation","light","Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes","albopictus","number of individuals","July/August","2007-05",2007,"2008-02","ovitraps, CDC miniature light traps and aspiration",1,"collections per month",NA,NA,"both","adults and larvae/pupae",20,NA,"multiple","Pernambuco coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1582_2",20,"Aedes albopictus","substantial","primary vegetation-substantial",3,0.582842809174421
"97","1582_3",1582,-35.08445,-8.140009,8735,27288,"daSilva2018","Carnijo ecological reserve","1582_3","Brazil","ecological reserve with Atlantic forest vegetation","Atlantic Forest ecological reserve","primary vegetation","minimal","Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes","albopictus","number of individuals","January/February","2007-05",2007,"2008-02","ovitraps, CDC miniature light traps and aspiration",1,"collections per month",NA,NA,"both","adults and larvae/pupae",23,NA,"multiple","Pernambuco coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1582_1",23,"Aedes albopictus","minimal","primary vegetation-minimal",14,2.71993310948063
"98","1582_3",1582,-35.08445,-8.140009,8736,27289,"daSilva2018","Carnijo ecological reserve","1582_3","Brazil","ecological reserve with Atlantic forest vegetation","Atlantic Forest ecological reserve","primary vegetation","minimal","Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes","albopictus","number of individuals","July/August","2007-05",2007,"2008-02","ovitraps, CDC miniature light traps and aspiration",1,"collections per month",NA,NA,"both","adults and larvae/pupae",1,NA,"multiple","Pernambuco coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1582_2",1,"Aedes albopictus","minimal","primary vegetation-minimal",14,2.71993310948063
"99","1582_3",1582,-35.08445,-8.140009,8734,27287,"daSilva2018","Carnijo ecological reserve","1582_3","Brazil","ecological reserve with Atlantic forest vegetation","Atlantic Forest ecological reserve","primary vegetation","minimal","Aedes (Stegomyia) aegypti (Linnaeus, 1762)","Aedes","aegypti","number of individuals","January/February","2007-05",2007,"2008-02","ovitraps, CDC miniature light traps and aspiration",1,"collections per month",NA,NA,"both","adults and larvae/pupae",2,NA,"multiple","Pernambuco coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1582_1",2,"Aedes aegypti","minimal","primary vegetation-minimal",14,2.71993310948063
"100","1582_3",1582,-35.08445,-8.140009,8739,27300,"daSilva2018","Carnijo ecological reserve","1582_3","Brazil","ecological reserve with Atlantic forest vegetation","Atlantic Forest ecological reserve","primary vegetation","minimal","Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes","albopictus","number of individuals","September/October","2007-05",2007,"2008-02","ovitraps, CDC miniature light traps and aspiration",1,"collections per month",NA,NA,"both","adults and larvae/pupae",25,NA,"multiple","Pernambuco coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1582_5",25,"Aedes albopictus","minimal","primary vegetation-minimal",14,2.71993310948063
"101","1582_3",1582,-35.08445,-8.140009,8738,27299,"daSilva2018","Carnijo ecological reserve","1582_3","Brazil","ecological reserve with Atlantic forest vegetation","Atlantic Forest ecological reserve","primary vegetation","minimal","Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes","albopictus","number of individuals","November/December","2007-05",2007,"2008-02","ovitraps, CDC miniature light traps and aspiration",1,"collections per month",NA,NA,"both","adults and larvae/pupae",21,NA,"multiple","Pernambuco coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1582_4",21,"Aedes albopictus","minimal","primary vegetation-minimal",14,2.71993310948063
"102","1582_3",1582,-35.08445,-8.140009,8737,27297,"daSilva2018","Carnijo ecological reserve","1582_3","Brazil","ecological reserve with Atlantic forest vegetation","Atlantic Forest ecological reserve","primary vegetation","minimal","Anopheles (Nyssorhynchus) albitarsis Lynch Arribalzaga, 1878","Anopheles","albitarsis","number of individuals","January/February","2007-05",2007,"2008-02","ovitraps, CDC miniature light traps and aspiration",1,"collections per month",NA,NA,"both","adults and larvae/pupae",1,NA,"multiple","Pernambuco coastal forests","Tropical & Subtropical Moist Broadleaf Forests","1582_1",1,"Anopheles albitarsis","minimal","primary vegetation-minimal",14,2.71993310948063
"103","1584_1",1584,-60.92608333,3.49185,8769,27340,"McKeon2013",NA,"1584_1","Brazil","Marsh","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",1,"Anopheles goeldii","minimal","primary vegetation-minimal",0,0
"104","1584_1",1584,-60.92608333,3.49185,8770,27341,"McKeon2013",NA,"1584_1","Brazil","Marsh","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",2,"Anopheles janconnae","minimal","primary vegetation-minimal",0,0
"105","1584_12",1584,-60.80265,2.819516667,8773,27344,"McKeon2013",NA,"1584_12","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",4,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",4,"Anopheles janconnae","minimal","primary vegetation-minimal",0,0
"106","1584_13",1584,-61.28388333,2.50535,8747,27315,"McKeon2013",NA,"1584_13","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",1,"Anopheles janconnae","minimal","primary vegetation-minimal",0,0
"107","1584_16",1584,-61.03831667,2.156966667,8761,27329,"McKeon2013",NA,"1584_16","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",35,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",35,"Anopheles triannulatus","minimal","primary vegetation-minimal",29,5.63414715535274
"108","1584_16",1584,-61.03831667,2.156966667,8759,27327,"McKeon2013",NA,"1584_16","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",2,"Anopheles goeldii","minimal","primary vegetation-minimal",29,5.63414715535274
"109","1584_16",1584,-61.03831667,2.156966667,8760,27328,"McKeon2013",NA,"1584_16","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",8,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",8,"Anopheles janconnae","minimal","primary vegetation-minimal",29,5.63414715535274
"110","1584_2",1584,-60.94215,3.48785,8768,27339,"McKeon2013",NA,"1584_2","Brazil","Pool","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",1,"Anopheles triannulatus","minimal","primary vegetation-minimal",2,0.388561872782948
"111","1584_2",1584,-60.94215,3.48785,8767,27338,"McKeon2013",NA,"1584_2","Brazil","Pool","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",48,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",48,"Anopheles janconnae","minimal","primary vegetation-minimal",2,0.388561872782948
"112","1584_20",1584,-61.02166667,2.150333333,8762,27330,"McKeon2013",NA,"1584_20","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",8,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",8,"Anopheles janconnae","minimal","primary vegetation-minimal",3,0.582842809174421
"113","1584_20",1584,-61.02166667,2.150333333,8763,27331,"McKeon2013",NA,"1584_20","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",2,"Anopheles goeldii","minimal","primary vegetation-minimal",3,0.582842809174421
"114","1584_21",1584,-61.68333333,2.155016667,8741,27309,"McKeon2013",NA,"1584_21","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",6,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",6,"Anopheles goeldii","minimal","primary vegetation-minimal",0,0
"115","1584_21",1584,-61.68333333,2.155016667,8742,27310,"McKeon2013",NA,"1584_21","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",26,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",26,"Anopheles janconnae","minimal","primary vegetation-minimal",0,0
"116","1584_21",1584,-61.68333333,2.155016667,8740,27308,"McKeon2013",NA,"1584_21","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",5,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",5,"Anopheles triannulatus","minimal","primary vegetation-minimal",0,0
"117","1584_23",1584,-60.98766667,1.5595,8766,27337,"McKeon2013",NA,"1584_23","Brazil","Ditch","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",8,NA,"multiple","Rio Negro campinarana","Tropical & Subtropical Moist Broadleaf Forests","1584_1",8,"Anopheles janconnae","minimal","primary vegetation-minimal",24,4.66274247339537
"118","1584_24",1584,-61.07613333,1.671283333,8752,27320,"McKeon2013",NA,"1584_24","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",3,NA,"multiple","Rio Negro campinarana","Tropical & Subtropical Moist Broadleaf Forests","1584_1",3,"Anopheles goeldii","minimal","primary vegetation-minimal",0,0
"119","1584_24",1584,-61.07613333,1.671283333,8753,27321,"McKeon2013",NA,"1584_24","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",16,NA,"multiple","Rio Negro campinarana","Tropical & Subtropical Moist Broadleaf Forests","1584_1",16,"Anopheles janconnae","minimal","primary vegetation-minimal",0,0
"120","1584_25",1584,-61.38333333,2.2,8743,27311,"McKeon2013",NA,"1584_25","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",2,"Anopheles triannulatus","minimal","primary vegetation-minimal",0,0
"121","1584_28",1584,-60.42011667,0.939733333,8784,27355,"McKeon2013",NA,"1584_28","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Uatuma-Trombetas moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_1",1,"Anopheles triannulatus","minimal","primary vegetation-minimal",170,33.0277591865505
"122","1584_28",1584,-60.42011667,0.939733333,8785,27356,"McKeon2013",NA,"1584_28","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Uatuma-Trombetas moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_1",2,"Anopheles goeldii","minimal","primary vegetation-minimal",170,33.0277591865505
"123","1584_29",1584,-60.55451667,0.118583333,8783,27354,"McKeon2013",NA,"1584_29","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Uatuma-Trombetas moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_1",2,"Anopheles goeldii","minimal","primary vegetation-minimal",18,3.49705685504653
"124","1584_29",1584,-60.55451667,0.118583333,8782,27353,"McKeon2013",NA,"1584_29","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Uatuma-Trombetas moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_1",1,"Anopheles janconnae","minimal","primary vegetation-minimal",18,3.49705685504653
"125","1584_3",1584,-61.25906667,2.991416667,8750,27318,"McKeon2013",NA,"1584_3","Brazil","Marsh","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",4,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",4,"Anopheles triannulatus","minimal","primary vegetation-minimal",0,0
"126","1584_31",1584,-48.74978333,-1.8371,8848,27419,"McKeon2013",NA,"1584_31","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",5,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",5,"Anopheles goeldii","minimal","primary vegetation-minimal",36,6.99411371009306
"127","1584_31",1584,-48.74978333,-1.8371,8849,27420,"McKeon2013",NA,"1584_31","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",53,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",53,"Anopheles triannulatus","minimal","primary vegetation-minimal",36,6.99411371009306
"128","1584_39",1584,-49.00453333,-3.986366667,8825,27396,"McKeon2013",NA,"1584_39","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles marajoara","Anopheles","marajoara","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",2,"Anopheles marajoara","minimal","primary vegetation-minimal",19,3.691337791438
"129","1584_39",1584,-49.00453333,-3.986366667,8826,27397,"McKeon2013",NA,"1584_39","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",14,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",14,"Anopheles triannulatus","minimal","primary vegetation-minimal",19,3.691337791438
"130","1584_4",1584,-61.31673333,2.991616667,8746,27314,"McKeon2013",NA,"1584_4","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",1,"Anopheles triannulatus","minimal","primary vegetation-minimal",2,0.388561872782948
"131","1584_4",1584,-61.31673333,2.991616667,8745,27313,"McKeon2013",NA,"1584_4","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",1,"Anopheles goeldii","minimal","primary vegetation-minimal",2,0.388561872782948
"132","1584_40",1584,-49.08921667,-3.820083333,8822,27393,"McKeon2013",NA,"1584_40","Brazil","Pool","Primary vegetation","primary vegetation","minimal","Anopheles marajoara","Anopheles","marajoara","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",73,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",73,"Anopheles marajoara","minimal","primary vegetation-minimal",0,0
"133","1584_40",1584,-49.08921667,-3.820083333,8823,27394,"McKeon2013",NA,"1584_40","Brazil","Pool","Primary vegetation","primary vegetation","minimal","Anopheles oryzalimnetes","Anopheles","oryzalimnetes","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",1,"Anopheles oryzalimnetes","minimal","primary vegetation-minimal",0,0
"134","1584_41",1584,-49.75763333,-3.754783333,8798,27369,"McKeon2013",NA,"1584_41","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",3,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",3,"Anopheles triannulatus","minimal","primary vegetation-minimal",1,0.194280936391474
"135","1584_44",1584,-49.80496667,-3.742116667,8794,27365,"McKeon2013",NA,"1584_44","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles oryzalimnetes","Anopheles","oryzalimnetes","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",9,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",9,"Anopheles oryzalimnetes","minimal","primary vegetation-minimal",1,0.194280936391474
"136","1584_44",1584,-49.80496667,-3.742116667,8795,27366,"McKeon2013",NA,"1584_44","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",4,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",4,"Anopheles triannulatus","minimal","primary vegetation-minimal",1,0.194280936391474
"137","1584_44",1584,-49.80496667,-3.742116667,8792,27363,"McKeon2013",NA,"1584_44","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",2,"Anopheles goeldii","minimal","primary vegetation-minimal",1,0.194280936391474
"138","1584_44",1584,-49.80496667,-3.742116667,8793,27364,"McKeon2013",NA,"1584_44","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles marajoara","Anopheles","marajoara","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",1,"Anopheles marajoara","minimal","primary vegetation-minimal",1,0.194280936391474
"139","1584_45",1584,-49.80143333,-3.741333333,8796,27367,"McKeon2013",NA,"1584_45","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",6,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",6,"Anopheles triannulatus","minimal","primary vegetation-minimal",0,0
"140","1584_5",1584,-61.27021667,3.020583333,8749,27317,"McKeon2013",NA,"1584_5","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",1,"Anopheles triannulatus","minimal","primary vegetation-minimal",0,0
"141","1584_51",1584,-49.11298333,-4.472216667,8818,27389,"McKeon2013",NA,"1584_51","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles marajoara","Anopheles","marajoara","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",5,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",5,"Anopheles marajoara","minimal","primary vegetation-minimal",0,0
"142","1584_51",1584,-49.11298333,-4.472216667,8819,27390,"McKeon2013",NA,"1584_51","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",5,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",5,"Anopheles triannulatus","minimal","primary vegetation-minimal",0,0
"143","1584_51",1584,-49.11298333,-4.472216667,8817,27388,"McKeon2013",NA,"1584_51","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles oryzalimnetes","Anopheles","oryzalimnetes","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",5,NA,"multiple","Tocantins/Pindare moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",5,"Anopheles oryzalimnetes","minimal","primary vegetation-minimal",0,0
"144","1584_52",1584,-49.21295,-5.35425,8802,27373,"McKeon2013",NA,"1584_52","Brazil","Stream margin","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",1,"Anopheles triannulatus","minimal","primary vegetation-minimal",26,5.05130434617832
"145","1584_53",1584,-49.20185,-5.36605,8803,27374,"McKeon2013",NA,"1584_53","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles triannulatus","Anopheles","triannulatus","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",4,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",4,"Anopheles triannulatus","minimal","primary vegetation-minimal",3,0.582842809174421
"146","1584_53",1584,-49.20185,-5.36605,8806,27377,"McKeon2013",NA,"1584_53","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles oryzalimnetes","Anopheles","oryzalimnetes","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",1,"Anopheles oryzalimnetes","minimal","primary vegetation-minimal",3,0.582842809174421
"147","1584_53",1584,-49.20185,-5.36605,8805,27376,"McKeon2013",NA,"1584_53","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles marajoara","Anopheles","marajoara","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",18,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",18,"Anopheles marajoara","minimal","primary vegetation-minimal",3,0.582842809174421
"148","1584_53",1584,-49.20185,-5.36605,8804,27375,"McKeon2013",NA,"1584_53","Brazil","Pond","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2010",2010,"2010","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",3,NA,"multiple","Xingu-Tocantins-Araguaia moist forests","Tropical & Subtropical Moist Broadleaf Forests","1584_2",3,"Anopheles goeldii","minimal","primary vegetation-minimal",3,0.582842809174421
"149","1584_8",1584,-60.62808333,2.858366667,8778,27349,"McKeon2013",NA,"1584_8","Brazil","Pool","Primary vegetation","primary vegetation","minimal","Anopheles janconnae","Anopheles","janconnae","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",2,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",2,"Anopheles janconnae","minimal","primary vegetation-minimal",0,0
"150","1584_9",1584,-60.59285,2.634233333,8779,27350,"McKeon2013",NA,"1584_9","Brazil","Seepage","Primary vegetation","primary vegetation","minimal","Anopheles goeldii","Anopheles","goeldii","catch per unit effort",NA,"2009",2009,"2011","500 ml dipper",1,"unit effort","outdoor",NA,NA,"larvae",1,NA,"multiple","Guianan savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","1584_1",1,"Anopheles goeldii","minimal","primary vegetation-minimal",0,0
