"","site_number","study_number","lon","lat","X.1","X","reference","site_name","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI","cells_deforestation","deforest_prop"
"12","1121_5",1121,-51.7969,3.9136,5951,22174,"Adde2017","Martin","1121_5","French Guiana","River-Forest-Savannah","primary vegetation","primary vegetation","minimal","Anopheles braziliensis","Anopheles","braziliensis","abundance","September-October","2013-09",2013,"2014-10","Mosquito Magnet trap",980,"trap hours","outdoor","both","night","adult",68,NA,"multiple","Guianan moist forests","Tropical & Subtropical Moist Broadleaf Forests","1121_1",0.0693877551020408,"Anopheles braziliensis","minimal","primary vegetation-minimal",3,0.582842809174421
"13","1432_2",1432,-73.49358611,-4.226513889,6978,24995,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","April","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",118,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_6",4.91666666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"14","1432_2",1432,-73.49358611,-4.226513889,6981,24998,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","dry","night","adult",20,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_1",0.833333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"15","1432_2",1432,-73.49358611,-4.226513889,6982,24999,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","August","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","dry","night","adult",39,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_15",1.625,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"16","1432_2",1432,-73.49358611,-4.226513889,6979,24996,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","March","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",989,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_24",41.2083333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"17","1432_2",1432,-73.49358611,-4.226513889,6980,24997,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","April","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",486,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_20",20.25,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"18","1432_2",1432,-73.49358611,-4.226513889,6985,25002,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","February","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",560,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_7",23.3333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"19","1432_2",1432,-73.49358611,-4.226513889,6986,25003,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","February","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",624,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_21",26,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"20","1432_2",1432,-73.49358611,-4.226513889,6983,25000,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","December","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","dry","night","adult",15,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_2",0.625,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"21","1432_2",1432,-73.49358611,-4.226513889,6984,25001,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","December","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","dry","night","adult",32,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_16",1.33333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
