"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"32","1350_1","1350_1","1350_3",1350,"Ribeiro2012",-23.9333333333333,-46.6333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest remnant","minimal","secondary vegetation-minimal",4,0
"33","1350_2","1350_2","1350_1",1350,"Ribeiro2012",-23.8833333333333,-46.7333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",3,0
"34","1350_2","1350_2","1350_2",1350,"Ribeiro2012",-23.8833333333333,-46.7333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",4,0
"35","1350_2","1350_2","1350_3",1350,"Ribeiro2012",-23.8833333333333,-46.7333333333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",4,0
"36","1355_1","1355_1","1355_2",1355,"Radocy2014",-12.56666667,-70.1,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","lowland rainforest","minimal","primary vegetation-minimal",2,1
"37","1355_2","1355_1","1355_3",1355,"Radocy2014",-12.56666667,-70.1,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","lowland rainforest","light","primary vegetation-substantial",1,1
"38","1355_3","1355_1","1355_1",1355,"Radocy2014",-12.56666667,-70.1,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","building in biological station","intense","primary vegetation-substantial",1,1
"39","1355_4","1355_1","1355_4",1355,"Radocy2014",-12.56666667,-70.1,"Peru","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","forest fringe/cleared area between urban and intact forest","light","secondary vegetation-substantial",2,1
"40","1379_1","1379_1","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","ornamental plants","intense","managed-substantial",8,0
"41","1379_2","1379_2","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","modified vegetation","intense","secondary vegetation-substantial",4,0
"42","1379_3","1379_3","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary forest","light","secondary vegetation-substantial",4,0
"43","1379_4","1379_4","1379_1",1379,"Alencar2011",-22.4666666666667,-43.2166666666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary forest","light","secondary vegetation-substantial",4,0
"44","1396_1","1396_1","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","urban forest fragment","light","secondary vegetation-substantial",2,0
"45","1396_2","1396_2","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,0
"46","1396_3","1396_3","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","light","secondary vegetation-substantial",2,0
"47","1396_4","1396_4","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","secondary vegetation","intense","secondary vegetation-substantial",3,0
"48","1396_5","1396_5","1396_1",1396,"Barrera2019",18.38727,-66.054,"Puerto Rico","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","wetland","light","primary vegetation-substantial",6,0
"49","1418_1","1418_1","1418_1",1418,"Reinbold2013",-3.764719,-73.258966,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","peri-urban","light","urban-substantial",3,1
"50","1418_2","1418_2","1418_1",1418,"Reinbold2013",-3.83041,-73.328089,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","rural area","light","urban-substantial",11,1
"51","1418_3","1418_3","1418_1",1418,"Reinbold2013",-3.831325,-73.376312,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","open area surrounded by forest","light","primary vegetation-substantial",10,1
"52","1418_4","1418_4","1418_2",1418,"Reinbold2013",-3.827436,-73.38592,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","tropical rainforest","minimal","primary vegetation-minimal",9,1
"53","1465_1","1465_1","1465_1",1465,"Alfonzo2005",9.066666667,-72.56666667,"Venezuela","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","light","primary vegetation-substantial",1,0
"54","1465_2","1465_2","1465_1",1465,"Alfonzo2005",9.066666667,-72.56666667,"Venezuela","Tropical & Subtropical Moist Broadleaf Forests","managed","pasture","intense","managed-substantial",4,0
"55","1484_1","1484_1","1484_1",1484,"Alencar2015",-22.453,-42.7703,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","pasture","intense","managed-substantial",6,0
"56","1484_2","1484_2","1484_1",1484,"Alencar2015",-22.453,-42.7703,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest","light","primary vegetation-substantial",6,0
"57","1489_1","1489_1","1489_1",1489,"Wilk2020",-23.4510333333333,-46.6357166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest","light","secondary vegetation-substantial",1,0
"58","1489_1","1489_1","1489_2",1489,"Wilk2020",-23.4510333333333,-46.6357166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest","light","secondary vegetation-substantial",1,0
"59","1489_1","1489_1","1489_3",1489,"Wilk2020",-23.4510333333333,-46.6357166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic forest","light","secondary vegetation-substantial",5,0
"60","1489_2","1489_1","1489_1",1489,"Wilk2020",-23.45395,-46.6348166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"61","1489_2","1489_1","1489_2",1489,"Wilk2020",-23.45395,-46.6348166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",4,0
"62","1489_2","1489_1","1489_3",1489,"Wilk2020",-23.45395,-46.6348166666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",5,0
"63","1489_3","1489_2","1489_1",1489,"Wilk2020",-23.4104,-46.6200833333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","intense","primary vegetation-substantial",2,0
"64","1489_3","1489_2","1489_2",1489,"Wilk2020",-23.4104,-46.6200833333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","intense","primary vegetation-substantial",3,0
"65","1489_3","1489_2","1489_3",1489,"Wilk2020",-23.4104,-46.6200833333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","intense","primary vegetation-substantial",5,0
"66","1530_1","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","managed","agriculture","intense","managed-substantial",4,0
"67","1530_2","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","mangrove","light","primary vegetation-substantial",4,0
"68","1530_3","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","rainforest","light","primary vegetation-substantial",3,0
"69","1530_5","1530_1","1530_1",1530,"Valentine2020",17.3507,-62.7681,"Saint Kitts and Nevis","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,0
"70","1533_2","1533_1","1533_1",1533,"Dusfour2013",4.548955,-52.493649,"French Guiana","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","primary and secondary forest growth","minimal","primary vegetation-minimal",8,1
"71","1533_3","1533_1","1533_1",1533,"Dusfour2013",4.548955,-52.493649,"French Guiana","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","small village","light","primary vegetation-substantial",7,1
"72","1536_3","1536_3","1536_1",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",2,0
"73","1536_3","1536_3","1536_2",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",1,0
"74","1536_3","1536_3","1536_3",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",1,0
"75","1536_3","1536_3","1536_4",1536,"Alencar2016",-22.5644722222222,-42.2879722222222,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","Atlantic Forest","light","secondary vegetation-substantial",1,0
"76","1553_1","1553_1","1553_2",1553,"Need1993",-3.844905,-73.3943,"Peru","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","tropical rainforest","minimal","primary vegetation-minimal",9,1
"77","1553_2","1553_2","1553_1",1553,"Need1993",-3.762289,-73.2677,"Peru","Tropical & Subtropical Moist Broadleaf Forests","urban","urban centre","intense","urban-substantial",3,1
"78","157_1","157_1","157_2",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","minimal","primary vegetation-minimal",6,0
"79","157_2","157_2","157_3",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","forest","light","secondary vegetation-substantial",6,0
"80","157_3","157_3","157_2",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","intense","primary vegetation-substantial",4,0
"81","157_4","157_4","157_1",157,"TaipeLagos2003",-23.41666667,-46.46666667,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","intense","primary vegetation-substantial",4,0
"82","1578_1","1578_1","1578_10",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",1,1
"83","1578_1","1578_1","1578_11",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",1,1
"84","1578_1","1578_1","1578_12",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",4,1
"85","1578_1","1578_1","1578_13",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"86","1578_1","1578_1","1578_2",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"87","1578_1","1578_1","1578_26",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"88","1578_1","1578_1","1578_3",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"89","1578_1","1578_1","1578_4",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",10,1
"90","1578_1","1578_1","1578_5",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",11,1
"91","1578_1","1578_1","1578_6",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",9,1
"92","1578_1","1578_1","1578_7",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",12,1
"93","1578_1","1578_1","1578_8",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",4,1
"94","1578_1","1578_1","1578_9",1578,"Lima2014",-10.22,-54.97,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","cattle farm","light","managed-substantial",4,1
"95","1578_2","1578_2","1578_1",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",2,1
"96","1578_2","1578_2","1578_2",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",8,1
"97","1578_2","1578_2","1578_3",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",9,1
"98","1578_2","1578_2","1578_4",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",7,1
"99","1578_2","1578_2","1578_5",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",9,1
"100","1578_2","1578_2","1578_6",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",7,1
"101","1578_2","1578_2","1578_7",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",6,1
"102","1578_3","1578_3","1578_14",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"103","1578_3","1578_3","1578_15",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"104","1578_3","1578_3","1578_16",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"105","1578_3","1578_3","1578_17",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"106","1578_3","1578_3","1578_18",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"107","1578_3","1578_3","1578_19",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"108","1578_3","1578_3","1578_20",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"109","1578_3","1578_3","1578_21",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"110","1578_3","1578_3","1578_22",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"111","1578_3","1578_3","1578_23",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"112","1578_3","1578_3","1578_24",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",3,1
"113","1578_3","1578_3","1578_25",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"114","1578_3","1578_3","1578_27",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",3,1
"115","1578_3","1578_3","1578_28",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"116","1578_3","1578_3","1578_29",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"117","1578_3","1578_3","1578_30",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"118","1582_1","1582_1","1582_1",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"119","1582_1","1582_1","1582_2",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"120","1582_1","1582_1","1582_4",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
