"","X","study_number","lon","lat","reference","site_name","site_number","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI"
"1315",5162,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Ano.) forattiniii","Anopheles","forattinii","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",32,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00793650793650794,"Anopheles forattinii","substantial","primary vegetation-substantial"
"1316",5163,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Ano.) mattogrossensis","Anopheles","mattogrossensis","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",5,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00124007936507937,"Anopheles mattogrossensis","substantial","primary vegetation-substantial"
"1317",5164,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Ano.) peryassui","Anopheles","peryassui","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",6,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00148809523809524,"Anopheles peryassui","substantial","primary vegetation-substantial"
"1318",5165,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Ano.) shannoni","Anopheles","shannoni","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",7,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00173611111111111,"Anopheles shannoni","substantial","primary vegetation-substantial"
"1319",5166,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Nys.) benarrochi","Anopheles","benarrochi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",7,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00173611111111111,"Anopheles benarrochi","substantial","primary vegetation-substantial"
"1320",5167,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Nys.) darlingi","Anopheles","darlingi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",6225,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",1.54389880952381,"Anopheles darlingi","substantial","primary vegetation-substantial"
"1321",5168,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Nys.) nuneztovari","Anopheles","nuneztovari","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",13,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00322420634920635,"Anopheles nuneztovari","substantial","primary vegetation-substantial"
"1322",5169,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Nys.) oswaldoi","Anopheles","oswaldoi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",7,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00173611111111111,"Anopheles oswaldoi","substantial","primary vegetation-substantial"
"1323",5170,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Nys.) rangeli","Anopheles","rangeli","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",0,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0,"Anopheles rangeli","substantial","primary vegetation-substantial"
"1324",5171,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Nys.) triannulatus","Anopheles","triannulatus","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",7,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.00173611111111111,"Anopheles triannulatus","substantial","primary vegetation-substantial"
